Id,Sexo,Edad,Nivel_educativo,SOC_1,SOC_2,SOC_3,SOC_4,SOC_5,SOC_6,SOC_7,SOC_8,SOC_9,SOC_10,SOC_11,SOC_12,SOC_13,SOC_1_INV,SOC_2_INV,SOC_3_INV,SOC_7_INV,SOC_10_INV,TOTAL_SOC,Comprensibility,Manejability,Meaningfulness
1,Women,33,University,1,7,6,7,5,4,3,2,4,5,6,4,6,7,1,2,5,3,56,17,16,23
2,Men,52,Primary school,3,5,5,3,3,3,3,3,3,5,2,7,6,5,3,3,5,3,49,14,15,20
3,Women,47,University,2,2,4,6,6,5,2,6,6,2,6,6,5,6,6,4,6,6,74,29,21,24
4,Men,34,Primary school,7,4,7,3,6,5,4,4,4,2,4,4,4,1,4,1,4,6,50,21,17,12
5,Women,33,Primary school,7,7,6,7,3,6,1,7,2,2,6,5,7,1,1,2,7,6,60,22,18,20
6,Men,52,Secondary school,1,5,4,5,2,1,2,6,2,4,6,7,5,7,3,4,6,4,58,18,15,25
7,Women,38,Secondary school,4,5,4,7,7,7,1,7,7,4,7,6,6,4,3,4,7,4,76,31,21,24
8,Women,45,Primary school,2,4,5,6,2,5,2,2,2,3,3,7,6,6,4,3,6,5,57,16,16,25
9,Men,39,University,3,1,2,4,6,6,4,6,6,2,6,6,5,5,7,6,4,6,73,31,23,19
10,Men,36,Primary school,2,3,4,4,3,4,3,3,3,3,6,6,4,6,5,4,5,5,58,21,16,21
11,Women,32,Primary school,1,4,4,5,5,6,3,7,2,2,6,4,5,7,4,4,5,6,66,25,20,21
12,Men,31,Secondary school,1,4,3,6,3,6,1,6,2,1,5,6,4,7,4,5,7,7,68,23,19,26
13,Women,42,University,3,6,2,6,4,7,2,6,4,4,6,6,7,5,2,6,6,4,69,25,21,23
14,Women,30,Primary school,4,6,5,4,7,2,5,4,4,3,4,6,6,4,2,3,3,5,54,16,21,17
15,Men,33,Secondary school,6,7,7,7,2,7,2,4,6,2,4,3,1,2,1,1,6,6,50,22,10,18
16,Men,37,Primary school,3,4,4,6,4,7,1,6,7,1,6,7,7,5,4,4,7,7,77,30,22,25
17,Men,43,University,4,1,2,7,6,6,3,6,7,3,6,7,6,4,7,6,5,5,78,32,23,23
18,Men,37,University,5,3,4,4,3,5,5,3,3,4,6,4,5,3,5,4,3,4,52,22,16,14
19,Men,30,Secondary school,2,2,4,5,7,5,4,5,2,7,3,2,3,6,6,4,4,1,53,21,15,17
20,Women,51,Primary school,3,3,5,6,4,6,4,6,4,4,4,6,7,5,5,3,4,4,64,25,18,21
21,Women,31,University,1,3,3,7,5,5,4,6,6,2,5,7,7,7,5,5,4,6,75,27,23,25
